[22:06:03] [INFO] received Windows console close event; shutting log-core down
[22:06:59] [INFO] received Windows console close event; shutting log-core down
[22:08:17] [INFO] received Windows console close event; shutting log-core down
[22:09:52] [INFO] received Windows console close event; shutting log-core down
[22:10:54] [INFO] received Windows console close event; shutting log-core down
[22:20:33] [INFO] received Windows console close event; shutting log-core down
[22:36:01] [INFO] received Windows console close event; shutting log-core down
[22:57:24] [INFO] received Windows console close event; shutting log-core down
[13:00:29] [INFO] received Windows console close event; shutting log-core down
[13:04:20] [INFO] received Windows console close event; shutting log-core down
[13:07:39] [INFO] received Windows console close event; shutting log-core down
[13:09:46] [INFO] received Windows console close event; shutting log-core down
[13:14:30] [INFO] received Windows console close event; shutting log-core down
[13:16:29] [INFO] received Windows console close event; shutting log-core down
[13:35:12] [INFO] received Windows console close event; shutting log-core down
[13:37:15] [INFO] received Windows console close event; shutting log-core down
[13:39:15] [INFO] received Windows console close event; shutting log-core down
[14:12:30] [INFO] received Windows console close event; shutting log-core down
[14:15:53] [INFO] received Windows console close event; shutting log-core down
[14:20:43] [INFO] received Windows console close event; shutting log-core down
[14:24:19] [INFO] received Windows console close event; shutting log-core down
[14:27:12] [INFO] received Windows console close event; shutting log-core down
[14:28:48] [INFO] received Windows console close event; shutting log-core down
[15:05:05] [INFO] received Windows console close event; shutting log-core down
[15:12:58] [INFO] received Windows console close event; shutting log-core down
[15:15:15] [INFO] received Windows console close event; shutting log-core down
[15:18:59] [INFO] received Windows console close event; shutting log-core down
[15:41:17] [INFO] received Windows console close event; shutting log-core down
[15:54:08] [INFO] received Windows console close event; shutting log-core down
[16:21:59] [INFO] received Windows console close event; shutting log-core down
[16:35:28] [INFO] received Windows console close event; shutting log-core down
[16:37:16] [INFO] received Windows console close event; shutting log-core down
[16:38:25] [INFO] received Windows console close event; shutting log-core down
[16:38:51] [INFO] received Windows console close event; shutting log-core down
[16:39:11] [INFO] received Windows console close event; shutting log-core down
[16:39:35] [INFO] received Windows console close event; shutting log-core down
[16:40:06] [INFO] received Windows console close event; shutting log-core down
[16:41:05] [INFO] received Windows console close event; shutting log-core down
[16:41:42] [INFO] received Windows console close event; shutting log-core down
